"file","lines","non_empty_lines","chars","line_by_line_sha256","file_sha256","changed_vs_first_pass"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssFunctions.cs","761","647","28193","7e05a22130617e12a503ba6dac8a28a7f3b6c95faaa02f4af87c34b3fdc62e52","1BC023FA1E6E3F1B6C8D304BE320B8E9935B0185CFA66B8C18BB641783FC8982","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssGridAdvanced.cs","695","604","25585","4d30e2fb69ebb31b9bbe15e9f8b4c960083ae31c0b97e5631f2e5fa4717de792","8B1D511B6DF43895414DA4A23D3B790B3ADD4A59ECD405EF22F56D5C89A14138","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssLoader.cs","6153","5409","265840","adbff92a7def4efab9f15750cbbb937b7c5c99b6f13db08abe2192a1efd40a23","A7029F27F01A2E9DF41C7FCAB17EF2D5F04CA9025E8A78C6FB3C6256496B4E0A","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssLoaderValueParsing.cs","400","355","14581","4297af194aba0bcf361589eacf9fefdf626b51d841548a8ef1cae8278796576e","A0EADD518C97E525F1A628D77E68F206EEAB3F20D934F8175CE19239F6AE6B82","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssModel.cs","269","229","9337","72a308cabdbc0138ea4e05eb21e4e3d221c009d646320965e617ac9324e6ed1a","413CB930C268DE456EA82CB11A133DFA5CE25154BADDD9B859B4755F01294E65","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssParser.cs","1112","977","48703","2e474c48e5dbee12955b31161a537c76061788c21940e809fa16264118f2a5b0","7878EB437E6CE7A4BEE7D447D4D1686C4AE1E7372D38AAB24271F1D2B6C6CD85","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssSelectorAdvanced.cs","578","490","20837","1c8152dbfe10c0e954d384a578d24667c5db770a50fe4e81e50361ae821a16ff","CCDC0228B238AAC1C0BB22FF27A6656F93B0E8803E21336416865ACE62323A7C","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssSelectorParser.cs","29","24","852","76a7de644f246d378c60685989cfef6f8bae43971c51104be363bf18abe8ad49","0735D94AD13ADE0B8A96BD46C598C65261A31E2EED04662DBD9C1276117D880D","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssStyleApplicator.cs","154","130","6615","06fabdc45e821f5826f008f41f5020f6e2b2c7c55ffd2964ba2af85e705aa33a","0F7018ACA56775F258587BA137541AF1FA114B91A3BCC12EE6D4BD6F892317A0","False"
"C:\Users\udayk\Videos\fenbrowser-test\FenBrowser.FenEngine\Rendering\Css\CssSyntaxParser.cs","639","548","24878","758490baac63f9b34c841a972e3d4df40386c80eec7db026a28c51f528be70c1","1B379482EA5334DC5523B1450CE358DDAD8C59B3BB4DDA5BFA3707D0E3BB81F7","False"
